source_db_engine,db_version,source_path_source_data,port
mysql,5.5,mysql-flex,adventureworks,4000
mysql,5.6,mysql-flex,adventureworks,4001
mysql,5.7,mysql-flex,adventureworks,4002
mysql,8.0,mysql-flex,adventureworks,4003
mysql,5.6,mysql-flex,sakila,4101
mysql,5.7,mysql-flex,sakila,4102
mysql,8.0,mysql-flex,sakila,4103
mysql,5.7,mysql-flex,world_x,4202
mysql,8.0,mysql-flex,world_x,4203
mysql,5.5,mysql-flex,siemenstestdb,4300
mysql,5.6,mysql-flex,siemenstestdb,4301
mysql,5.7,mysql-flex,siemenstestdb,4302
mysql,8.0,mysql-flex,siemenstestdb,4303
mysql,5.6,mysql-flex,jaffle,4401
mysql,5.7,mysql-flex,jaffle,4402
mysql,5.5,mysql-flex,hopper,4500
mysql,5.6,mysql-flex,hopper,4501
mysql,5.7,mysql-flex,hopper,4502
mysql,8.0,mysql-flex,hopper,4503
mariadb,10.1,mysql-flex,adventureworks,5000
mariadb,10.2,mysql-flex,adventureworks,5001
mariadb,10.3,mysql-flex,adventureworks,5002
mariadb,10.4,mysql-flex,adventureworks,5003
postgres,9.6,postgres-flex,adventureworks,6000
postgres,9.6,postgres-flex,sakila,6100
